disease,name,n_terms,sum,mean_dist,max_dist,min_dist,std_dist
0,A2ML1 (OMIM:166760),13,300.88467757062693,3.857495866290089,7.323423152545972,0.12871499364286615,1.6755184528039189
1,AAAS (OMIM:231550),115,33970.44627890234,5.182371667261989,9.042595039340005,0.0003895778320876399,1.5185743480311948
2,AAGAB (OMIM:148600),29,1729.555480965823,4.259988869373949,7.937260009649833,0.0010000006774057311,1.431578567540989
3,AARS1 (OMIM:613287),55,8202.037727514042,5.523257728965684,9.16883064934852,0.00031792342844160594,1.8059151205052413
4,AARS1 (OMIM:616339),85,17708.94287019064,4.960488198932953,8.801507113610338,0.00022026734555797406,1.5077394942957594
5,AARS1 (OMIM:619661),39,3364.2177823878287,4.54010496948425,8.015637842928118,0.013499002611170477,1.4660738625960845
6,AARS1 (OMIM:619691),93,21023.070792745384,4.914228796808177,8.359060524417998,0.0006846906295529453,1.4985455698208947
7,AARS2 (OMIM:614096),61,9133.1785640149,4.990807958478087,8.865580117766548,0.0007660873712183492,1.6205516112128304
8,AARS2 (OMIM:615889),79,15785.0695403434,5.123359149738202,8.614486523462016,0.00018869251796236437,1.448181926016715
9,AASS (OMIM:238700),69,11169.777226907332,4.76120086398437,8.575145525423508,0.006897913965728082,1.4969351460960219
10,ABAT (OMIM:613163),77,13822.69272841643,4.724091841564057,8.377282336380427,0.00045198453520349144,1.3713903357601067
11,ABCA1 (OMIM:205400),101,24985.57547986804,4.94763870888476,9.36983048806683,0.0008965297861125612,1.5352548410408295
12,ABCA1 (OMIM:604091),22,1126.4414106535837,4.876369743089107,8.460101402234377,0.0017162786166367463,2.1275259156597914
13,ABCA12 (OMIM:242500),57,7023.482403666141,4.400678197785803,8.982178741276417,0.05513106266618496,1.4812279869442244
14,ABCA12 (OMIM:601277),65,9937.847338844882,4.777811220598501,8.645371890881206,0.0006982854539680614,1.6400053249799191
15,ABCA2 (OMIM:618808),72,12087.701586506499,4.729147725550273,8.390330869841303,7.104736562826131e-05,1.5253584281791122
16,ABCA3 (OMIM:610921),55,8528.533546568653,5.743120233379564,9.047869151224408,0.27018824818260867,1.6409130636291733
17,ABCA4 (OMIM:153800),8,79.81384385396912,2.85049442335604,5.237276650688817,0.7609453784098479,1.0542714159083684
18,ABCA4 (OMIM:248200),12,210.10436808913144,3.1833995165019915,5.361642791259053,0.008176358038014635,1.292585863086872
19,ABCA4 (OMIM:601718),29,1995.9915350050633,4.916235307894245,7.981024797845407,0.00015500775417016222,1.4899543357473946
20,ABCA4 (OMIM:604116),36,3237.881988634638,5.1394952200549815,7.950270638194183,0.0001917344771909692,1.5228215320147005
21,ABCA5 (OMIM:135400),29,1687.2404199241323,4.155764581093922,8.31920727349342,0.0021880361742556568,1.3775380874527574
22,ABCA7 (OMIM:608907),36,2682.872331877601,4.258527510916827,8.099664280647712,0.0003034016255382604,1.5831150695895029
23,ABCB1 (OMIM:612244),14,312.5977636124688,3.435140259477679,7.425799281159062,0.5789848082407059,1.3129772087961273
24,ABCB11 (OMIM:601847),56,7889.043032905406,5.122755216172342,9.051382881482878,8.678962776528191e-05,1.648824671715794
25,ABCB11 (OMIM:605479),35,2914.251561547904,4.897901784114125,8.94235871408567,8.678962776528191e-05,1.6094963806166032
26,ABCB4 (OMIM:600803),39,3690.484843525561,4.9804113947713375,8.403959429223658,0.00026323209777808567,1.6602718501447393
27,ABCB4 (OMIM:602347),47,5523.201537800287,5.109344623312014,9.051382881482878,0.045904659837265424,1.6713577947538116
28,ABCB4 (OMIM:614972),31,2185.3121733833354,4.6995960717921195,8.805855302940941,0.15492920798274556,1.5966924576097759
29,ABCB6 (OMIM:609153),29,1927.3565471590985,4.747183613692361,8.344348253086082,0.00034954821993255067,1.8275066398760287
30,ABCB6 (OMIM:614497),16,497.74595286131273,4.147882940510939,8.09354366825715,0.7609453784098479,1.5096134709110602
31,ABCB6 (OMIM:615402),11,208.58490229618516,3.7924527690215486,6.009433533989315,1.312119532985013,1.039393513932948
32,ABCB7 (OMIM:301310),131,46918.35824111665,5.510083175703659,9.050057039223194,0.00015286693837893977,1.519770080146479
33,ABCC1 (OMIM:618915),11,233.2791605909607,4.241439283472013,7.039041808377914,0.3980917516456417,1.7570197828690566
34,ABCC2 (OMIM:237500),21,875.6598378972159,4.169808751891504,7.673999406972417,8.678962776528191e-05,1.489826453121627
35,ABCC6 (OMIM:177850),86,17930.551734202272,4.905759708400074,8.686080504986174,0.0002689521254639294,1.5219751656876244
36,ABCC6 (OMIM:614473),58,9262.908979923788,5.60369569263387,8.947997433750036,0.0010855653860684738,1.8427134060875145
37,ABCC8 (OMIM:240800),42,4106.230024716811,4.769140562969583,8.546840266844706,0.0002791634935974599,1.6007032496874836
38,ABCC8 (OMIM:256450),27,1813.479353478615,5.166607844668419,8.904273742841035,0.0002791634935974599,1.9182883892344467
39,ABCC8 (OMIM:610374),11,233.77031958291354,4.250369446962065,7.538929909800172,0.016869058301451946,1.9880667961913616
40,ABCC8 (OMIM:618857),46,5035.208096097078,4.864935358547902,8.52042303241217,0.6736982505613585,1.5216663912888813
41,ABCC9 (OMIM:239850),124,36442.78426257783,4.778754820689461,8.884856770451918,0.00014722167009707527,1.454701799326268
42,ABCC9 (OMIM:608569),14,430.0143483214165,4.725432399136445,8.80023960979233,0.13759093795583704,1.89066557717047
43,ABCC9 (OMIM:614050),9,130.6846957097527,3.6301304363820197,5.388437390482778,8.736249828716642e-05,1.6019537253847265
44,ABCC9 (OMIM:619719),139,47938.5745261645,4.998287407586748,8.934238966176222,0.00019109962496280627,1.4806333830357261
45,ABCD1 (OMIM:300100),115,35364.92702890527,5.395107098231163,9.033086969596255,0.00010628559088546006,1.5421232507107345
46,ABCD3 (OMIM:616278),57,8127.735898813616,5.09256635264011,8.870272353659333,0.004883727133326189,1.6454492399897598
47,ABCD4 (OMIM:614857),154,57975.25559708492,4.921081028527707,8.990249446826201,0.00016194096168394945,1.3554702956765379
48,ABCG5 (OMIM:618666),19,652.9504682712941,3.8184237910601992,7.478649893720753,0.0012817528951234228,1.6629243796789728
49,ABCG8 (OMIM:210250),87,19164.59814915392,5.1228543568976,9.10780402719919,4.189843108750679e-05,1.6343575040575908
50,ABCG8 (OMIM:611465),8,96.99053620390015,3.4639477215678625,5.0743392672486,1.5815794965532501,0.9798043914346987
51,ABHD12 (OMIM:612674),97,23598.157948581225,5.068332892736517,8.989675600588276,0.0011901076561597205,1.4646025275970243
52,ABHD16A (OMIM:619735),76,14983.449972475722,5.257350867535341,8.789156748701284,0.00011500658009453042,1.6697460189958369
53,ABHD5 (OMIM:275630),74,12894.52905612852,4.773983360284531,8.709365484001456,0.001862257631737183,1.4746657185360432
54,ABL1 (OMIM:617602),156,57845.786194595,4.784597700131927,8.971314926846567,0.0002901132539534321,1.4359656022573057
55,ACACA (OMIM:613933),21,905.5801018203416,4.312286199144484,8.307300268858572,0.019538305154274842,1.6245228469920827
56,ACAD8 (OMIM:611283),26,1369.6629451276754,4.214347523469771,7.809180129762001,0.6858069643877314,1.3859815902950783
57,ACAD9 (OMIM:611126),71,12131.545403758671,4.881909619218781,8.923880301209035,0.0016094262110088685,1.5809068362439744
58,ACADM (OMIM:201450),69,11591.5794990619,4.940997228926641,8.825116156796453,0.0011777486855865352,1.5445232986485666
59,ACADS (OMIM:201470),95,20884.083074812683,4.677286242959167,8.399548531466795,0.00018869251796236437,1.3949394350837396
60,ACADSB (OMIM:610006),63,9115.349477475109,4.66735764335643,8.789730324828803,0.007807459901876793,1.5382674405778847
61,ACADVL (OMIM:201475),123,40869.152636901745,5.44704153497291,9.267593908929497,0.00016212543135581012,1.6493970181293567
62,ACAN (OMIM:165800),62,8794.986957689669,4.6509714213060125,8.566229574281888,0.0009466132864818706,1.5996183414143614
63,ACAN (OMIM:608361),32,2164.753511949094,4.364422403123173,8.889264004271626,0.004652465187464556,1.6024287420805179
64,ACAN (OMIM:612813),84,17067.37041426133,4.895975448726716,9.423161291769256,0.00015304849304319395,1.5828031812552827
65,ACAT1 (OMIM:203750),23,1144.327963374009,4.523035428355767,8.92481483051878,0.16283535681414846,1.7316707781893987
66,ACAT2 (OMIM:614055),25,1301.8365663889704,4.339455221296568,8.307300268858572,0.019538305154274842,1.5859603059692824
67,ACBD5 (OMIM:618863),80,15104.362500444098,4.7798615507734485,8.587897566866367,0.0001663034595149971,1.5094795648381614
68,ACD (OMIM:616553),53,6360.415017176487,4.615685788952458,9.223393158840036,0.00034846550864526177,1.6575170797324374
69,ACER3 (OMIM:617762),100,22951.007196017672,4.636567110306601,8.160722130129484,0.00015304849304319395,1.3431382849769116
70,ACKR3 (OMIM:619215),9,161.24061629452856,4.478906008181349,6.7810184267442715,0.00033296623504988637,1.5779651204154426
71,ACO2 (OMIM:614559),92,20963.2085825932,5.0079332495444815,9.11345293491237,0.0001018499913121344,1.4592791605468953
