i,j,rank,omim_name,omim_count,omim_terms,orpha_name,orpha_count,orpha_terms,commun,cost_true,cost_pred,terms_pred
143,44,41,tarsal carpal coalition syndrome,16,HP:0000002|HP:0000006|HP:0000364|HP:0001156|HP:0001204|HP:0002967|HP:0003041|HP:0003577|HP:0006147|HP:0006152|HP:0008368|HP:0009381|HP:0009466|HP:0009702|HP:0010034|HP:0030084,tarsal carpal coalition syndrome,3,HP:0003028|HP:0004322|HP:0008368,HP:0008368,6.094903474446378,4.771144395461338,"['HP:0000772', 'HP:0001883', 'HP:0002967', 'HP:0002991', 'HP:0003027', 'HP:0003028', 'HP:0003422', 'HP:0004209', 'HP:0004322', 'HP:0005009', 'HP:0005048', 'HP:0008368', 'HP:0009465', 'HP:0031095', 'HP:0100490']"
528,142,8,congenital short bowel syndrome,17,HP:0000007|HP:0001508|HP:0001942|HP:0001944|HP:0001984|HP:0002013|HP:0002028|HP:0002566|HP:0002570|HP:0002587|HP:0003270|HP:0003577|HP:0003593|HP:0011100|HP:0030889|HP:0030897|HP:0030914,congenital short bowel syndrome,7,HP:0002566|HP:0004322|HP:0005245|HP:0008070|HP:0100543|HP:0100578|HP:0100627,HP:0002566,6.26866862456493,4.97070988945903,"['HP:0001508', 'HP:0001561', 'HP:0001622', 'HP:0001732', 'HP:0001734', 'HP:0001824', 'HP:0001944', 'HP:0002013', 'HP:0002247', 'HP:0002587', 'HP:0003270', 'HP:0004414', 'HP:0004909', 'HP:0025656', 'HP:0030145', 'HP:0034754']"
212,13,142,duodenal atresia,2,HP:0000007|HP:0002247,duodenal atresia,16,HP:0001508|HP:0001561|HP:0001622|HP:0001732|HP:0001734|HP:0001824|HP:0001944|HP:0002013|HP:0002247|HP:0002587|HP:0003270|HP:0004414|HP:0004909|HP:0025656|HP:0030145|HP:0034754,HP:0002247,7.5001796841705985,6.908983354222849,"['HP:0002566', 'HP:0004322', 'HP:0005245', 'HP:0008070', 'HP:0100543', 'HP:0100578', 'HP:0100627']"
409,158,6,lowry maclean syndrome,13,HP:0000006|HP:0000175|HP:0000252|HP:0000444|HP:0000501|HP:0000684|HP:0001249|HP:0001263|HP:0001363|HP:0001511|HP:0001627|HP:0004467|HP:0009110,lowry maclean syndrome,52,HP:0000023|HP:0000047|HP:0000078|HP:0000175|HP:0000237|HP:0000238|HP:0000243|HP:0000252|HP:0000278|HP:0000327|HP:0000347|HP:0000348|HP:0000369|HP:0000444|HP:0000453|HP:0000485|HP:0000494|HP:0000520|HP:0000572|HP:0000577|HP:0000592|HP:0000680|HP:0000776|HP:0000938|HP:0000939|HP:0000954|HP:0001087|HP:0001250|HP:0001269|HP:0001363|HP:0001510|HP:0001511|HP:0001680|HP:0002012|HP:0002021|HP:0002705|HP:0002714|HP:0003194|HP:0003196|HP:0004439|HP:0004554|HP:0005211|HP:0005442|HP:0006695|HP:0007370|HP:0007957|HP:0008689|HP:0011087|HP:0011344|HP:0025247|HP:0030680|HP:0100538,HP:0001363|HP:0001511|HP:0000444|HP:0000175|HP:0000252,5.249457767135176,4.949756385923576,"['HP:0000486', 'HP:0000501', 'HP:0000518', 'HP:0000545', 'HP:0000612', 'HP:0000708', 'HP:0000750', 'HP:0000752', 'HP:0000957', 'HP:0001249', 'HP:0001250', 'HP:0001252', 'HP:0001270', 'HP:0001273', 'HP:0001511', 'HP:0002650', 'HP:0002719', 'HP:0005484', 'HP:0007703', 'HP:0008897', 'HP:0025373']"
245,455,110,hydroxykynureninuria,6,HP:0000007|HP:0000952|HP:0002013|HP:0003623|HP:6000121|HP:6000265,hydroxykynureninuria,17,HP:0000733|HP:0000958|HP:0001249|HP:0001259|HP:0001263|HP:0001276|HP:0001298|HP:0001649|HP:0001942|HP:0001947|HP:0002315|HP:0002448|HP:0002615|HP:0004365|HP:0005957|HP:0008527|HP:0010280,,7.1955784088544315,6.216234923098034,"['HP:0000137', 'HP:0001392', 'HP:0001732', 'HP:0001743', 'HP:0002017', 'HP:0002027', 'HP:0002149', 'HP:0002239', 'HP:0002733', 'HP:0005214', 'HP:0005561', 'HP:0025435', 'HP:0032218', 'HP:0100649']"
421,406,5,neurofibromatosis noonan syndrome,38,HP:0000006|HP:0000028|HP:0000256|HP:0000272|HP:0000286|HP:0000316|HP:0000358|HP:0000369|HP:0000465|HP:0000470|HP:0000494|HP:0000508|HP:0000750|HP:0000767|HP:0000915|HP:0000917|HP:0000997|HP:0001067|HP:0001249|HP:0001263|HP:0001324|HP:0001328|HP:0001642|HP:0001684|HP:0002162|HP:0002650|HP:0002967|HP:0003006|HP:0004322|HP:0005272|HP:0005280|HP:0007565|HP:0009732|HP:0009734|HP:0009737|HP:0011800|HP:0012471|HP:0030052,neurofibromatosis noonan syndrome,18,HP:0000028|HP:0000271|HP:0000316|HP:0000358|HP:0000465|HP:0000494|HP:0000508|HP:0000765|HP:0001328|HP:0001639|HP:0001642|HP:0002015|HP:0003010|HP:0004322|HP:0007565|HP:0009023|HP:0011039|HP:0100763,HP:0000316|HP:0000465|HP:0001642|HP:0000358|HP:0000028|HP:0007565|HP:0000508|HP:0004322|HP:0001328|HP:0000494,4.32556082977052,4.4908498006589355,"['HP:0000256', 'HP:0000365', 'HP:0000518', 'HP:0000708', 'HP:0000736', 'HP:0000750', 'HP:0000752', 'HP:0000766', 'HP:0000787', 'HP:0000997', 'HP:0001012', 'HP:0001067', 'HP:0001114', 'HP:0001250', 'HP:0001252', 'HP:0001270', 'HP:0001328', 'HP:0001332', 'HP:0001634', 'HP:0001642', 'HP:0002650', 'HP:0002667', 'HP:0004209', 'HP:0004322', 'HP:0004845', 'HP:0006671', 'HP:0007018', 'HP:0007099', 'HP:0007565', 'HP:0009588', 'HP:0009734', 'HP:0009737', 'HP:0010442', 'HP:0030052', 'HP:0030358', 'HP:0032077', 'HP:0100006', 'HP:0100245', 'HP:0100252', 'HP:0100543', 'HP:0100615', 'HP:0410263']"
360,269,6,phosphoribosylpyrophosphate synthetase superactivity,41,HP:0000028|HP:0000047|HP:0000083|HP:0000154|HP:0000218|HP:0000286|HP:0000325|HP:0000365|HP:0000369|HP:0000407|HP:0000444|HP:0000486|HP:0000494|HP:0000501|HP:0000508|HP:0000540|HP:0000545|HP:0000601|HP:0000791|HP:0001249|HP:0001251|HP:0001252|HP:0001263|HP:0001270|HP:0001419|HP:0001518|HP:0001997|HP:0002149|HP:0002719|HP:0003149|HP:0003196|HP:0003240|HP:0003477|HP:0003577|HP:0003819|HP:0004322|HP:0005280|HP:0008070|HP:0009830|HP:0011220|HP:0034368,phosphoribosylpyrophosphate synthetase superactivity,13,HP:0000083|HP:0000407|HP:0000486|HP:0000496|HP:0000822|HP:0001249|HP:0001251|HP:0001252|HP:0001638|HP:0001679|HP:0002149|HP:0002167|HP:0011675,HP:0001249|HP:0000486|HP:0001252|HP:0000083|HP:0001251|HP:0000407|HP:0002149,5.055413166361758,4.647342208338636,"['HP:0000215', 'HP:0000219', 'HP:0000232', 'HP:0000280', 'HP:0000316', 'HP:0000343', 'HP:0000463', 'HP:0000470', 'HP:0000486', 'HP:0000506', 'HP:0000508', 'HP:0000582', 'HP:0000684', 'HP:0000966', 'HP:0001252', 'HP:0001315', 'HP:0001382', 'HP:0002007', 'HP:0002023', 'HP:0002714', 'HP:0002750', 'HP:0003196', 'HP:0004322', 'HP:0004326', 'HP:0008070', 'HP:0010864', 'HP:0011220', 'HP:0045075', 'HP:0100736']"
541,48,7,ring chromosome 14 syndrome,28,HP:0000218|HP:0000252|HP:0000268|HP:0000286|HP:0000316|HP:0000369|HP:0000457|HP:0000463|HP:0000470|HP:0000494|HP:0000580|HP:0000581|HP:0000750|HP:0001249|HP:0001252|HP:0001263|HP:0001290|HP:0001510|HP:0002133|HP:0002197|HP:0002384|HP:0002465|HP:0003593|HP:0003745|HP:0005280|HP:0005469|HP:0007359|HP:0007874,ring chromosome 14 syndrome,21,HP:0000486|HP:0000501|HP:0000518|HP:0000545|HP:0000612|HP:0000708|HP:0000750|HP:0000752|HP:0000957|HP:0001249|HP:0001250|HP:0001252|HP:0001270|HP:0001273|HP:0001511|HP:0002650|HP:0002719|HP:0005484|HP:0007703|HP:0008897|HP:0025373,HP:0001252|HP:0000750|HP:0001249,4.840262172988789,5.4036139400269825,"['HP:0000218', 'HP:0000252', 'HP:0000303', 'HP:0000322', 'HP:0000385', 'HP:0000387', 'HP:0000574', 'HP:0000689', 'HP:0001162', 'HP:0001212', 'HP:0001344', 'HP:0001511', 'HP:0001812', 'HP:0001830', 'HP:0001831', 'HP:0002069', 'HP:0002187', 'HP:0002465', 'HP:0002558', 'HP:0002650', 'HP:0002987', 'HP:0004209', 'HP:0006380', 'HP:0010554', 'HP:0100490']"
355,294,36,danon disease,34,HP:0000505|HP:0001249|HP:0001263|HP:0001279|HP:0001324|HP:0001423|HP:0001635|HP:0001639|HP:0001640|HP:0001644|HP:0001678|HP:0001685|HP:0001692|HP:0001700|HP:0001716|HP:0001761|HP:0002375|HP:0002460|HP:0003236|HP:0003458|HP:0003546|HP:0003621|HP:0003690|HP:0003700|HP:0003701|HP:0003710|HP:0004756|HP:0007210|HP:0011463|HP:0011706|HP:0012666|HP:0025075|HP:0025717|HP:0100543,danon disease,6,HP:0001249|HP:0001288|HP:0001639|HP:0001644|HP:0006543|HP:0010547,HP:0001639|HP:0001249|HP:0001644,6.446872558973624,5.85825182866816,"['HP:0000486', 'HP:0000496', 'HP:0000508', 'HP:0000657', 'HP:0001256', 'HP:0001263', 'HP:0001376', 'HP:0002167', 'HP:0002650', 'HP:0002808', 'HP:0003693', 'HP:0004209', 'HP:0005745', 'HP:0100022']"
94,271,31,cardiospondylocarpofacial syndrome,56,HP:0000006|HP:0000076|HP:0000085|HP:0000154|HP:0000286|HP:0000293|HP:0000316|HP:0000343|HP:0000358|HP:0000369|HP:0000403|HP:0000405|HP:0000414|HP:0000431|HP:0000463|HP:0000486|HP:0000506|HP:0000508|HP:0000582|HP:0000592|HP:0000629|HP:0000776|HP:0000902|HP:0000977|HP:0001156|HP:0001252|HP:0001382|HP:0001508|HP:0001558|HP:0001629|HP:0001631|HP:0001653|HP:0001655|HP:0001773|HP:0002020|HP:0002578|HP:0002650|HP:0002750|HP:0002949|HP:0003577|HP:0004322|HP:0005278|HP:0005473|HP:0008368|HP:0008441|HP:0008527|HP:0008734|HP:0009702|HP:0010579|HP:0010584|HP:0011387|HP:0011461|HP:0011623|HP:0011968|HP:0012304|HP:0030732,cardiospondylocarpofacial syndrome,11,HP:0000405|HP:0000692|HP:0001156|HP:0001634|HP:0001653|HP:0002705|HP:0003312|HP:0003510|HP:0004279|HP:0005048|HP:0006352,HP:0001653|HP:0000405|HP:0001156,6.073721724792323,4.818856245159785,"['HP:0000014', 'HP:0000036', 'HP:0000039', 'HP:0000047', 'HP:0000069', 'HP:0000256', 'HP:0000286', 'HP:0000365', 'HP:0000463', 'HP:0000486', 'HP:0000502', 'HP:0000506', 'HP:0000520', 'HP:0000581', 'HP:0000598', 'HP:0000625', 'HP:0001140', 'HP:0001156', 'HP:0001252', 'HP:0001274', 'HP:0001331', 'HP:0001508', 'HP:0001510', 'HP:0001561', 'HP:0001626', 'HP:0001999', 'HP:0002251', 'HP:0003196', 'HP:0004279', 'HP:0007440', 'HP:0008065', 'HP:0008749', 'HP:0011968', 'HP:0012639', 'HP:0012745', 'HP:0030680']"
